CNN - Latest	http://rss.cnn.com/rss/cnn_latest.rss
MSNBC - News	http://www.msn.com/rss/news.aspx
BBC - Latest	http://feeds.bbci.co.uk/news/system/latest_published_content/rss.xml
Fox News - Latest	http://feeds.feedburner.com/foxnews/latest
New York Times - World	http://feeds.nytimes.com/nyt/rss/World
CBS News - World	http://feeds.cbsnews.com/CBSNewsWorld?format=xml
Washington Post - World	http://feeds.washingtonpost.com/wp-dyn/rss/world/index_xml
Time - World	http://feeds2.feedburner.com/time/world
USA Today - World	http://rssfeeds.usatoday.com/UsatodaycomWorld-TopStories
Reuters - World	http://feeds.reuters.com/reuters/worldNews
The Guardian	http://feeds.guardian.co.uk/theguardian/rss
